date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:19	130/130	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Dec%202016%2008:27:18%20GMT	https://tw.pycon.org/robots.txt		(from )
16:27:19	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2021%20Dec%202016%2008:27:19%20GMT	https://tw.pycon.org/2016/	./tw.pycon.org.2016/2016/index.html	(from )
16:27:19	19394/19394	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202016%2008:27:19%20GMT	https://tw.pycon.org/2016/en-us/	./tw.pycon.org.2016/2016/en-us/index.html	(from https://tw.pycon.org/2016/)
16:27:19	894/894	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/favicon_pyconTW_32x32.png	./tw.pycon.org.2016/2016/static/images/favicon_pyconTW_32x32.png	(from https://tw.pycon.org/2016/en-us/)
16:27:19	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Dec%202016%2008:27:20%20GMT	http://tw.pycon.org/2016/static/images/PyConTW2016_facebook_shareImage.png	./tw.pycon.org.2016/2016/static/images/PyConTW2016_facebook_shareImage.1.delayed	(from https://tw.pycon.org/2016/en-us/)
16:27:20	80452/80452	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/PyConTW2016_facebook_shareImage.png	./tw.pycon.org.2016/2016/static/images/PyConTW2016_facebook_shareImage.png	(from https://tw.pycon.org/2016/en-us/)
16:27:20	664373/664373	---MCZ	200	added ('OK')	text/css	date:Sat,%2023%20Jul%202016%2016:49:32%20GMT	https://tw.pycon.org/2016/static/CACHE/css/21d1c305ea3a.css	./tw.pycon.org.2016/2016/static/CACHE/css/21d1c305ea3a.css	(from https://tw.pycon.org/2016/en-us/)
16:27:20	718/718	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Dec%202016%2008:27:20%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500	./tw.pycon.org.2016/css7dfd.css	(from https://tw.pycon.org/2016/en-us/)
16:27:22	2239/2239	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Dec%202016%2008:27:21%20GMT	https://fonts.googleapis.com/earlyaccess/notosanstc.css	./tw.pycon.org.2016/earlyaccess/notosanstc.css	(from https://tw.pycon.org/2016/en-us/)
16:27:22	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	./tw.pycon.org.2016/font-awesome/4.4.0/css/font-awesome.min.css	(from https://tw.pycon.org/2016/en-us/)
16:27:22	4712/4712	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/logo-tiny--reverse@2x.png	./tw.pycon.org.2016/2016/static/images/logo-tiny--reverse@2x.png	(from https://tw.pycon.org/2016/en-us/)
16:27:23	2517/2517	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/LogoIcon_white@2x.png	./tw.pycon.org.2016/2016/static/images/LogoIcon_white@2x.png	(from https://tw.pycon.org/2016/en-us/)
16:27:23	78052/78052	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/logo.png	./tw.pycon.org.2016/2016/static/images/logo.png	(from https://tw.pycon.org/2016/en-us/)
16:27:23	1174/1174	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/call_icon.png	./tw.pycon.org.2016/2016/static/images/call_icon.png	(from https://tw.pycon.org/2016/en-us/)
16:27:24	18173/18173	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202016%2008:27:23%20GMT	https://tw.pycon.org/2016/en-us/about/pycontw/	./tw.pycon.org.2016/2016/en-us/about/pycontw/index.html	(from https://tw.pycon.org/2016/en-us/)
16:27:24	2343/2343	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/python_icon.png	./tw.pycon.org.2016/2016/static/images/python_icon.png	(from https://tw.pycon.org/2016/en-us/)
16:27:24	10588/10588	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202016%2008:27:24%20GMT	https://tw.pycon.org/2016/en-us/about/code-of-conduct/	./tw.pycon.org.2016/2016/en-us/about/code-of-conduct/index.html	(from https://tw.pycon.org/2016/en-us/)
16:27:26	18960/18960	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202016%2013:27:28%20GMT	https://tw.pycon.org/2016/static/images/sponsors/gliacloud.png	./tw.pycon.org.2016/2016/static/images/sponsors/gliacloud.png	(from https://tw.pycon.org/2016/en-us/)
16:28:18	13454/13454	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202016%2008:27:26%20GMT	https://tw.pycon.org/2016/en-us/about/staff/	./tw.pycon.org.2016/2016/en-us/about/staff/index.html	(from https://tw.pycon.org/2016/en-us/)
16:28:19	19273/19273	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202016%2008:27:26%20GMT	https://tw.pycon.org/2016/en-us/events/keynotes/	./tw.pycon.org.2016/2016/en-us/events/keynotes/index.html	(from https://tw.pycon.org/2016/en-us/)
